Process Date,Amount,Other Party,Credit Plan Name,Transaction Date,Foreign Details,City,Country Code
09/07/2012,-38.62,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",06/07/2012,,,
09/07/2012,-36.90,"HOMESTEAD NATURAL HEAL NEW BRIGHTON  NZ","PURCHASES AMERICAN EXPRESS",08/07/2012,,,
09/07/2012,-7.49,"POSTIE PLUS RICCARTON  CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",08/07/2012,,,
09/07/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",09/07/2012,,,
10/07/2012,-15.97,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",09/07/2012,,,
13/07/2012,-9.28,"PAK N SAVE NORTHLANDS  PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",12/07/2012,,,
16/07/2012,204.00,"PAYMENT RECEIVED       THANK YOU     NZL",,15/07/2012,,,
16/07/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",16/07/2012,,,
16/07/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",16/07/2012,,,
16/07/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",16/07/2012,,,
20/07/2012,-40.00,"WORLD VISION AKLD DPS  AUCKLAND      NZL","PURCHASES",20/07/2012,,,
23/07/2012,100.00,"PAYMENT RECEIVED       THANK YOU     NZL",,21/07/2012,,,
25/07/2012,-4.90,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",25/07/2012,,,
27/07/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",27/07/2012,,,
30/07/2012,-45.00,"JELLIE PARK AQUALAND   FENDALTON     NZ","PURCHASES",28/07/2012,,,
30/07/2012,-4.40,"CITY EXPRESS CONVENIEN CHRISTCHURCH  NZL","PURCHASES",30/07/2012,,,
02/08/2012,-4.90,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",02/08/2012,,,
06/08/2012,-20.90,"PAK N SAVE NORTHLANDS  PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",03/08/2012,,,
06/08/2012,-30.00,"2 DEGREES RICCARTON    RICCARTON     NZL","PURCHASES",04/08/2012,,,
06/08/2012,-10.00,"COFFEE CULTURE RICCART CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",04/08/2012,,,
06/08/2012,-31.75,"COOKAI RICCARARTON JAP CHRISTCHURCH  NZ","PURCHASES",04/08/2012,,,
06/08/2012,-59.99,"FOREVER NEW CLOTHING   RICCARTON     NZ","PURCHASES",04/08/2012,,,
06/08/2012,300.00,"PAYMENT RECEIVED       THANK YOU     NZL",,06/08/2012,,,
10/08/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",09/08/2012,,,
13/08/2012,-22.07,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",10/08/2012,,,
13/08/2012,-69.35,"ANCESTRAL              CHRISTCHURCH  NZL","PURCHASES",11/08/2012,,,
15/08/2012,-2.00,"MCDONALDS NORTHLANDS   CHRISTCHURCH  NZL","PURCHASES",15/08/2012,,,
16/08/2012,-67.88,"PAK N SAVE NORTHLANDS  PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",15/08/2012,,,
16/08/2012,-3.00,"MCDONALDS RICCARTON FC CHRISTCHURCH  NZL","PURCHASES",16/08/2012,,,
16/08/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",16/08/2012,,,
17/08/2012,-45.80,"HEALTH 2000 RICCARTON  CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",16/08/2012,,,
17/08/2012,400.00,"PAYMENT RECEIVED       THANK YOU     NZL",,17/08/2012,,,
17/08/2012,-139.96,"JETSTAR AIR MELBOURNE  MELBOURNE     AU","PURCHASES AMERICAN EXPRESS",17/08/2012,,,
20/08/2012,-14.00,"KOREA HOUSE            CHRISTCHURCH  NZ","PURCHASES",17/08/2012,,,
20/08/2012,-80.00,"KOOL ZONE LIMITED      RICCARTON     NZ","PURCHASES",18/08/2012,,,
20/08/2012,-59.00,"Treat Me               Wellington    NZ","PURCHASES",20/08/2012,,,
22/08/2012,-27.00,"MIHYANG RESTAURANT     CHRISTCHURCH  NZ","PURCHASES",20/08/2012,,,
23/08/2012,-10.69,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",22/08/2012,,,
23/08/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",23/08/2012,,,
24/08/2012,-18.80,"SAKURA JAPANESE CUISIN CHRISTCHURCH  NZL","PURCHASES",24/08/2012,,,
27/08/2012,-2.32,"HANAFINS CAMERA & VIDE RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",24/08/2012,,,
27/08/2012,-4.00,"COFFEE CULTURE RICCART CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",24/08/2012,,,
27/08/2012,-2.40,"BISHOPDALE POST SHOP   CHRISTCHURCH  NZ","PURCHASES",24/08/2012,,,
27/08/2012,-9.50,"ANCESTRAL              CHRISTCHURCH  NZL","PURCHASES",25/08/2012,,,
27/08/2012,-25.00,"COLONIAL KIWI REST     CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",25/08/2012,,,
27/08/2012,500.00,"PAYMENT RECEIVED       THANK YOU     NZL",,27/08/2012,,,
28/08/2012,-4.90,"BISHOPDALE POST SHOP   CHRISTCHURCH  NZ","PURCHASES",25/08/2012,,,
28/08/2012,-0.50,"BISHOPDALE POST SHOP   CHRISTCHURCH  NZ","PURCHASES",25/08/2012,,,
28/08/2012,-3.89,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",27/08/2012,,,
29/08/2012,-10.00,"HOYTS RICCARTON        CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",27/08/2012,,,
29/08/2012,-20.00,"GREEN PARTY OF AOTEARO WELLINGTON    NZL","PURCHASES",29/08/2012,,,
30/08/2012,-64.00,"MOORHOUSE MEDICAL CENT CHRISTCHURCH  NZL","PURCHASES",30/08/2012,,,
03/09/2012,-20.99,"RADIUS PHARMACY MOORHO CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",30/08/2012,,,
03/09/2012,-7.99,"THE WAREHOUSE - 120 -  PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",31/08/2012,,,
03/09/2012,300.00,"PAYMENT RECEIVED       THANK YOU     NZL",,02/09/2012,,,
03/09/2012,-28.31,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",02/09/2012,,,
03/09/2012,-30.00,"PUMPKIN PATCH - CLEARA HORNBY        NZ","PURCHASES AMERICAN EXPRESS",02/09/2012,,,
03/09/2012,-14.98,"PICCADILLY BOOKSHOP LT CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",02/09/2012,,,
03/09/2012,-10.00,"COTTON ON BODY 9406 HO CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",02/09/2012,,,
03/09/2012,-45.00,"COTTON ON BODY 9406 HO CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",02/09/2012,,,
03/09/2012,-75.00,"WORLD VISION AKLD DPS  AUCKLAND      NZL","PURCHASES",03/09/2012,,,
04/09/2012,-219.00,"BISHOPDALE YMCA        CHRISTCHURCH  NZL","PURCHASES",03/09/2012,,,
06/09/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",05/09/2012,,,
11/09/2012,-20.57,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",10/09/2012,,,
11/09/2012,-34.25,"COOKAI RICCARARTON JAP CHRISTCHURCH  NZ","PURCHASES",10/09/2012,,,
12/09/2012,600.00,"PAYMENT RECEIVED       THANK YOU     NZL",,11/09/2012,,,
12/09/2012,-20.00,"ECAN-BUS EXCHANGE      CHRISTCHURCH  NZ","PURCHASES",11/09/2012,,,
12/09/2012,-507.50,"TURNERS AUCTIONS LTD   CHRISTCHURCH  NZ","PURCHASES",11/09/2012,,,
14/09/2012,-76.00,"L'OCCITANE RICCARTON R RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",13/09/2012,,,
17/09/2012,-15.97,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",14/09/2012,,,
17/09/2012,-11.90,"MCDONALDS RICCARTON FC CHRISTCHURCH  NZL","PURCHASES",15/09/2012,,,
17/09/2012,-59.00,"NZ AUTOMOBILE ASSOCIAT RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",15/09/2012,,,
17/09/2012,-1241.94,"AA INSURANCE - ANNUAL  AUCKLAND      NZ","PURCHASES AMERICAN EXPRESS",15/09/2012,,,
17/09/2012,-4.99,"THE WAREHOUSE - 128 -  CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",16/09/2012,,,
18/09/2012,1400.00,"PAYMENT RECEIVED       THANK YOU     NZL",,17/09/2012,,,
18/09/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",17/09/2012,,,
18/09/2012,-1810.00,"IMMIGRATION - CHCH     CHRISTCHURCH  NZL","PURCHASES",18/09/2012,,,
21/09/2012,-15.47,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",20/09/2012,,,
21/09/2012,-35.00,"UNICEF NEW ZEALAND     WELLINGTON    NZ","PURCHASES AMERICAN EXPRESS",20/09/2012,,,
24/09/2012,-8.47,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",21/09/2012,,,
24/09/2012,-4.99,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",22/09/2012,,,
24/09/2012,-57.98,"HEALTH 2000 RICCARTON  CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",23/09/2012,,,
24/09/2012,-9.90,"HEALTH 2000 RICCARTON  CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",23/09/2012,,,
24/09/2012,-9.90,"BENTO SUSHI EXPRESS    RICCARTON,CHR NZ","PURCHASES",23/09/2012,,,
25/09/2012,3000.00,"PAYMENT RECEIVED       THANK YOU     NZL",,25/09/2012,,,
25/09/2012,-4.90,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",25/09/2012,,,
26/09/2012,-48.49,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",25/09/2012,,,
26/09/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",26/09/2012,,,
27/09/2012,-150.00,"BISHOPDALE YMCA        CHRISTCHURCH  NZL","PURCHASES",26/09/2012,,,
01/10/2012,-74.97,"9137 STEVENS RICCARTON CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",28/09/2012,,,
01/10/2012,-47.00,"RICHEY BAR             CHRISTCHURCH  NZ","PURCHASES",30/09/2012,,,
01/10/2012,-23.50,"RICHEY BAR             CHRISTCHURCH  NZ","PURCHASES",30/09/2012,,,
01/10/2012,-2.00,"AIRPORT FOOD CENTRE    CHRISTCHURCH  NZL","PURCHASES",01/10/2012,,,
02/10/2012,-25.00,"PAGANI HORNBY          CHRISTCHURCH  NZ","PURCHASES",29/09/2012,,,
02/10/2012,-22.59,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",01/10/2012,,,
02/10/2012,-5.18,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",01/10/2012,,,
04/10/2012,-30.00,"Environment Canterbury Christchurch  NZ","PURCHASES",03/10/2012,,,
08/10/2012,-28.97,"PAK N SAVE NORTHLANDS  PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",06/10/2012,,,
08/10/2012,-29.99,"9139 STEVENS NORTHLAND PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",06/10/2012,,,
08/10/2012,-9.99,"REPCO AUTO PARTS 44    CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",07/10/2012,,,
09/10/2012,-149.00,"NZAA VEHICLE INSPECTIO AUCKLAND      NZ","PURCHASES",08/10/2012,,,
10/10/2012,-57.91,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",09/10/2012,,,
12/10/2012,-25.54,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",11/10/2012,,,
12/10/2012,-103.99,"FARMERS TRADING 5579   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",11/10/2012,,,
12/10/2012,-11.21,"THE FUNKY PUMPKIN      VEGETABLES    NZ","PURCHASES",12/10/2012,,,
15/10/2012,-3.80,"MCDONALDS SYDENHAM     CHRISTCHURCH  NZL","PURCHASES",12/10/2012,,,
15/10/2012,-10.50,"SHAMIANA CUISINES OF I CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",12/10/2012,,,
15/10/2012,-20.42,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",14/10/2012,,,
15/10/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",15/10/2012,,,
16/10/2012,-3.38,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",15/10/2012,,,
16/10/2012,-2.00,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",16/10/2012,,,
18/10/2012,-79.00,"BOND & BOND - RICCARTO RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",17/10/2012,,,
19/10/2012,-136.80,"L'OCCITANE RICCARTON R RICCARTON     NZ","PURCHASES AMERICAN EXPRESS",18/10/2012,,,
19/10/2012,-303.60,"MONO                   AUCKLAND      NZL","PURCHASES",19/10/2012,,,
19/10/2012,-48.00,"MONO                   AUCKLAND      NZL","PURCHASES",19/10/2012,,,
19/10/2012,200.00,"PAYMENT RECEIVED       THANK YOU     NZL",,19/10/2012,,,
23/10/2012,-2.99,"BOTANY GARDEN & ORCHAR AUCKLAND      NZ","PURCHASES",19/10/2012,,,
23/10/2012,-39.50,"DFS CUSTOMHOUSE & AAP  AUCKLAND      NZ","PURCHASES AMERICAN EXPRESS",20/10/2012,,,
23/10/2012,-39.99,"BOND & BOND - BOTANY - AUCKLAND      NZ","PURCHASES AMERICAN EXPRESS",20/10/2012,,,
23/10/2012,-249.80,"ROSIE HOLIDAYS - MER   NADI          FJ","PURCHASES AMERICAN EXPRESS",20/10/2012,"10/20/12        352.26    FJD FOREIGN CURRENCY FEE $ 6.09 NZD INCLUDED",,
24/10/2012,-1.00,"MCDONALDS A/PORT DOM   MANUKAU       NZL","PURCHASES",23/10/2012,,,
24/10/2012,-35.00,"UNICEF NEW ZEALAND     WELLINGTON    NZ","PURCHASES AMERICAN EXPRESS",23/10/2012,,,
24/10/2012,-12.32,"9428 - COUNTDOWN AUCKL MANGERE       NZ","PURCHASES AMERICAN EXPRESS",23/10/2012,,,
24/10/2012,800.00,"PAYMENT RECEIVED       THANK YOU     NZL",,24/10/2012,,,
24/10/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",24/10/2012,,,
26/10/2012,-29.10,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",25/10/2012,,,
26/10/2012,-11.38,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",25/10/2012,,,
29/10/2012,-89.85,"COUNTRY ROAD ONEHUNGA  ONEHUNGA      NZ","PURCHASES AMERICAN EXPRESS",28/10/2012,,,
01/11/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",01/11/2012,,,
02/11/2012,-30.00,"2 DEGREES MOBILE       AUCKLAND      NZ","PURCHASES AMERICAN EXPRESS",01/11/2012,,,
05/11/2012,-11.40,"ST PIERRE'S            CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",03/11/2012,,,
05/11/2012,-11.90,"LUSH FRESH HANDMADE CO PAPANUI       NZ","PURCHASES AMERICAN EXPRESS",03/11/2012,,,
05/11/2012,-25.00,"Treat Me               Wellington    NZ","PURCHASES",05/11/2012,,,
06/11/2012,-9.00,"GROUPONNZ              0000          DE","PURCHASES",03/11/2012,,,
06/11/2012,-2.50,"SALT ON THE PIER       CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",04/11/2012,,,
06/11/2012,-60.71,"COUNTDOWN - NORTHLANDS CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",05/11/2012,,,
07/11/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",06/11/2012,,,
09/11/2012,-18.00,"MUM'S RESTAURANT       CHRISTCHURCH  NZ","PURCHASES",08/11/2012,,,
12/11/2012,-23.20,"SHANEXI NOODLES        CHRISTCHURCH  NZ","PURCHASES",09/11/2012,,,
12/11/2012,200.00,"PAYMENT RECEIVED       THANK YOU     NZL",,10/11/2012,,,
12/11/2012,100.00,"PAYMENT RECEIVED       THANK YOU     NZL",,10/11/2012,,,
12/11/2012,-16.35,"PAK N SAVE RICCARTON   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",10/11/2012,,,
12/11/2012,-12.00,"KOSCO RICCARTON        CHRISTCHURCH  NZ","PURCHASES",11/11/2012,,,
15/11/2012,-20.00,"Environment Canterbury Christchurch  NZ","PURCHASES",14/11/2012,,,
16/11/2012,-13.00,"KOREA HOUSE            CHRISTCHURCH  NZ","PURCHASES",16/11/2012,,,
19/11/2012,-21.75,"SPICE PARAGON UPPER RI UPPER RICCART NZ","PURCHASES AMERICAN EXPRESS",18/11/2012,,,
19/11/2012,-4.80,"SPICE PARAGON UPPER RI UPPER RICCART NZ","PURCHASES AMERICAN EXPRESS",18/11/2012,,,
21/11/2012,-35.00,"UNICEF NEW ZEALAND     WELLINGTON    NZ","PURCHASES AMERICAN EXPRESS",20/11/2012,,,
22/11/2012,-14.00,"GROUPONNZ              0000          DE","PURCHASES",20/11/2012,,,
22/11/2012,-4.74,"NEW WORLD BISHOPDALE   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",21/11/2012,,,
26/11/2012,-43.96,"FARMERS TRADING 5579   CHRISTCHURCH  NZ","PURCHASES AMERICAN EXPRESS",22/11/2012,,,
26/11/2012,-5.00,"SUBWAY WAIRAKEI        BURNSIDE      NZ","PURCHASES",23/11/2012,,,
26/11/2012,-4.99,"AIRPORT FOOD CENTRE    CHRISTCHURCH  NZL","PURCHASES",24/11/2012,,,
26/11/2012,-0.60,"MCDONALDS NORTHLANDS   CHRISTCHURCH  NZL","PURCHASES",24/11/2012,,,
